event-id,visible,timestamp,location-long,location-lat,eobs:battery-voltage,eobs:fix-battery-voltage,eobs:horizontal-accuracy-estimate,eobs:key-bin-checksum,eobs:speed-accuracy-estimate,eobs:start-timestamp,eobs:status,eobs:temperature,eobs:type-of-fix,eobs:used-time-to-get-fix,ground-speed,heading,height-above-ellipsoid,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
42194502,true,2007-12-08 21:15:00.000,,,4230,0,,1256842967,,2007-12-08 21:15:00.000,"D",20,0,141,,,,"gps","Pteroglossus torquatus","50","#79896","Toucan movement and seed dispersal, Gamboa, Panama (data from Kays et al. 2011)"
42194509,true,2007-12-08 21:31:31.998,-79.6958231,9.1289174,4223,0,19.97,108300352,0.98,2007-12-08 21:29:15.000,"A",19,3,136,0.02,350.62,108.7,"gps","Pteroglossus torquatus","50","#79896","Toucan movement and seed dispersal, Gamboa, Panama (data from Kays et al. 2011)"
42194510,true,2007-12-08 21:45:44.000,-79.6946167,9.1271236,4221,0,4.1,2792927716,0.99,2007-12-08 21:45:02.000,"A",18,3,42,0.12,22.94,54.1,"gps","Pteroglossus torquatus","50","#79896","Toucan movement and seed dispersal, Gamboa, Panama (data from Kays et al. 2011)"
42194511,true,2007-12-08 22:00:45.001,-79.694652,9.1272254,4218,0,5.63,3178008081,3.26,2007-12-08 22:00:00.000,"A",18,3,45,0.24,7.86,71.0,"gps","Pteroglossus torquatus","50","#79896","Toucan movement and seed dispersal, Gamboa, Panama (data from Kays et al. 2011)"
42194512,true,2007-12-08 22:15:14.998,-79.6955579,9.1256754,4218,0,4.86,338538049,4.08,2007-12-08 22:15:00.000,"A",18,3,14,0.06,17.69,64.5,"gps","Pteroglossus torquatus","50","#79896","Toucan movement and seed dispersal, Gamboa, Panama (data from Kays et al. 2011)"
42194513,true,2007-12-08 22:30:17.000,-79.695136,9.1254873,4213,0,3.58,4075283048,4.08,2007-12-08 22:30:02.000,"A",17,3,15,0.11,359.14,91.2,"gps","Pteroglossus torquatus","50","#79896","Toucan movement and seed dispersal, Gamboa, Panama (data from Kays et al. 2011)"
42194514,true,2007-12-08 22:45:35.998,-79.6954514,9.1256013,4208,0,11.26,2737959512,4.63,2007-12-08 22:45:00.000,"A",17,3,35,0.07,355.86,70.8,"gps","Pteroglossus torquatus","50","#79896","Toucan movement and seed dispersal, Gamboa, Panama (data from Kays et al. 2011)"
42194515,true,2007-12-08 23:00:16.998,-79.6954821,9.1259065,4208,0,6.91,1175812754,2.97,2007-12-08 23:00:01.000,"A",17,3,15,0.21,346.03,58.4,"gps","Pteroglossus torquatus","50","#79896","Toucan movement and seed dispersal, Gamboa, Panama (data from Kays et al. 2011)"
42194516,true,2007-12-08 23:15:17.998,-79.695569,9.126058,4208,0,12.54,3202366391,4.93,2007-12-08 23:15:01.000,"A",16,3,16,0.23,9.83,89.6,"gps","Pteroglossus torquatus","50","#79896","Toucan movement and seed dispersal, Gamboa, Panama (data from Kays et al. 2011)"
42194517,true,2007-12-08 23:30:16.000,-79.6955401,9.126163,4208,0,6.66,1084929021,3.81,2007-12-08 23:30:02.000,"A",16,3,14,0.28,4.59,61.3,"gps","Pteroglossus torquatus","50","#79896","Toucan movement and seed dispersal, Gamboa, Panama (data from Kays et al. 2011)"
